Ty Dolla $ign	Entergalactic
Terry Farrell	Star Trek: Deep Space Nine
Eamon Farren	Chained
Eamon Farren	The Witcher
Veronica Farren	Interreflections
David Farrier	Tickled
Hamid Farrokhnezhad	Chaharshanbe-soori
Mia Farrow	A Midsummer Night's Sex Comedy
Mia Farrow	Alice
Mia Farrow	Another Woman
Mia Farrow	Arthur 3: la guerre des deux mondes
Mia Farrow	Arthur et la vengeance de Maltazard
Mia Farrow	Arthur et les Minimoys
Mia Farrow	Be Kind Rewind
Mia Farrow	Broadway Danny Rose
Mia Farrow	Death on the Nile
Mia Farrow	Hannah and Her Sisters
Mia Farrow	Husbands and Wives
Mia Farrow	Radio Days
Mia Farrow	Rosemary's Baby
Mia Farrow	September
Mia Farrow	Shadows and Fog
Mia Farrow	Supergirl
Mia Farrow	The Great Gatsby
Mia Farrow	The Last Unicorn
Mia Farrow	The Purple Rose of Cairo
Mia Farrow	The Watcher
Mia Farrow	Zelig
Tisa Farrow	Zombi 2
Dominique Farrugia	La cité de la peur
Jack Farthing	Poldark
Lena Farugia	The Gods Must Be Crazy II
Nadia Farès	Les rivières pourpres
María Gabriela de Faría	Deadly Class
Roberto Farías	El Club
Michael Fassbender	12 Years a Slave
Michael Fassbender	A Dangerous Method
Michael Fassbender	Alien: Covenant
Michael Fassbender	Assassin's Creed
Michael Fassbender	Centurion
Michael Fassbender	Dark Phoenix
Michael Fassbender	Eden Lake
Michael Fassbender	Fish Tank
Michael Fassbender	Frank
Michael Fassbender	Haywire
Michael Fassbender	Jane Eyre
Michael Fassbender	Jonah Hex
Michael Fassbender	Macbeth
Michael Fassbender	Prometheus
Michael Fassbender	Shame
Michael Fassbender	Song to Song
Michael Fassbender	Steve Jobs
Michael Fassbender	The Counselor
Michael Fassbender	The Killer
Michael Fassbender	The Light Between Oceans
Michael Fassbender	The Snowman
Michael Fassbender	Town Creek
Michael Fassbender	X-Men: Apocalypse
Michael Fassbender	X: First Class
Nora Fatehi	Batla House
Samy Abdel Fattah	Dogs of Berlin
Aleksandr Fatyushin	Moskva slezam ne verit
Anthony Fauci	Fauci
James Faulkner	Da Vinci's Demons
Trond Fausa	Den brysomme mannen
Trond Fausa	Lilyhammer
Trond Fausa	Norsemen
Chad Faust	Tamara
Chad Faust	The 4400
David Faustino	Married with Children
David Faustino	The Legend of Korra
Pierfrancesco Favino	Il traditore
Pierfrancesco Favino	Suburra
Pierfrancesco Favino	The Catcher Was a Spy
Jon Favreau	Chef
Jon Favreau	Couples Retreat
Jon Favreau	Made
Jon Favreau	PCU
Jon Favreau	Rudy
Jon Favreau	Swingers
Jon Favreau	The Break-Up
Jon Favreau	Very Bad Things
Jon Favreau	Wimbledon
Majed Fawaz	321 Action
Farrah Fawcett	Charlie's Angels
Farrah Fawcett	Dr. T & the Women
Farrah Fawcett	Man of the House
Farrah Fawcett	Saturn 3
Farrah Fawcett	The Cannonball Run
Farrah Fawcett	The Six Million Dollar Man
Nat Faxon	Beavis and Butt-Head Do the Universe
Nat Faxon	Disenchantment
Nat Faxon	Father of the Year
Nat Faxon	Friends from College
Nat Faxon	Loot
Nat Faxon	Walk Hard: The Dewey Cox Story
Meagen Fay	Loot
Frances Faye	Pretty Baby
Ali Fazal	Fukrey
Ali Fazal	Mirzapur
Ali Fazal	Victoria & Abdul
Gabe Fazio	Exit 0
Daniel Fearn	Man vs. Bee
Mike Fearnley	Tyrannosaur
Ray Fearon	The Lady of Heaven
Michael Feast	The Deaths of Ian Stone
Feather	Coming to America
Ashley Blaine Featherson-Jenkins	Dear White People
Katie Featherston	Paranormal Activity
Katie Featherston	Paranormal Activity 2
Katie Featherston	Paranormal Activity 4
Arnas Fedaravicius	The Last Kingdom
Frédérique Feder	Trois couleurs: Rouge
Autumn Federici	Circle
Luciano Federico	Malèna
Birgitte Federspiel	Babettes gæstebud
Birgitte Federspiel	Ordet
Ejner Federspiel	Ordet
Ruby O. Fee	Army of Thieves
Alice Feetham	Boiling Point
Roshon Fegan	Shake It Up
Oakes Fegley	Pete's Dragon
Oakes Fegley	The Goldfinch
Oakes Fegley	The War with Grandpa
Oakes Fegley	Wonderstruck
Winslow Fegley	8-Bit Christmas
Winslow Fegley	Come Play
Winslow Fegley	Lyle, Lyle, Crocodile
Winslow Fegley	Nightbooks
Friedrich Feher	Das Cabinet des Dr. Caligari
Alexander Fehling	Der Hauptmann
Alexander Fehling	Im Labyrinth des Schweigens
Brendan Fehr	Roswell
Brendan Fehr	The Night Shift
Oded Fehr	Dreamer: Inspired by a True Story
Oded Fehr	Resident Evil: Apocalypse
Oded Fehr	Resident Evil: Extinction
Halley Feiffer	Bored to Death
JJ Feild	Austenland
JJ Feild	Blood: The Last Vampire
JJ Feild	Goal! III
JJ Feild	The Peripheral
Fortune Feimster	FUBAR
Fortune Feimster	The Mindy Project
Fortune Feimster	Velma
Frances Feist	Carnival of Souls
Raphael Fejtö	Au revoir les enfants
Clarence Felder	The Hidden
Andrew Barth Feldman	No Hard Feelings
Ben Feldman	400 Days
Ben Feldman	As Above, So Below
Ben Feldman	Drop Dead Diva
Ben Feldman	Superstore
Corey Feldman	License to Drive
Corey Feldman	Stand by Me
Corey Feldman	The 'Burbs
Corey Feldman	The Goonies
Marty Feldman	Silent Movie
Marty Feldman	Young Frankenstein
Tamara Feldman	Hatchet
Tasso Feldman	The Resident
Julius Feldmeier	Kleo
Barbara Feldon	Get Smart
Tovah Feldshuh	Kissing Jessica Stein
Beanie Feldstein	American Crime Story
Beanie Feldstein	Booksmart
Beanie Feldstein	The Humans
Sharon Feldstein	Stutz
Sandra Felgueiras	The Disappearance of Madeleine McCann
Rhenzy Feliz	Runaways
Mohamed Fellag	Monsieur Lazhar
Anjelica Bette Fellini	Teenage Bounty Hunters
Rosie Fellner	The Trip to Italy
Julian Fellowes	Shadowlands
Hansjörg Felmy	Torn Curtain
Tom Felton	A United Kingdom
Tom Felton	Anna and the King
Tom Felton	Megan Leavey
Tom Felton	Risen
Tom Felton	The Apparition
Verna Felton	Cinderella
Verna Felton	Sleeping Beauty
Hao Feng	Hwan Hon
Hao Feng	Liu lang di qiu 2
Sherilyn Fenn	Boxing Helena
Sherilyn Fenn	The Wraith
Sherilyn Fenn	Twin Peaks
Simon Fenton	Matinee
Colm Feore	24: Redemption
Colm Feore	Changeling
Colm Feore	National Security
Colm Feore	The Borgias
Colm Feore	The Chronicles of Riddick
Colm Feore	The Prodigy
Colm Feore	The Umbrella Academy
Sevda Ferdag	Kapicilar Krali
Marie-Sophie Ferdane	Je ne suis pas un homme facile
Francesco Ferdinandi	Holding the Man
Peter Ferdinando	A Field in England
Peter Ferdinando	Archive
Alex Ferguson	The Pogmentary
Colin Ferguson	Eureka
Craig Ferguson	How to Train Your Dragon
Craig Ferguson	How to Train Your Dragon 2
Craig Ferguson	Saving Grace
Craig Ferguson	The Drew Carey Show
Craig Ferguson	The Late Late Show with Craig Ferguson
Craig Ferguson	Winnie the Pooh
Jay R. Ferguson	Surface
Jesse Tyler Ferguson	Modern Family
Keith Ferguson	DuckTales
Keith Ferguson	Foster's Home for Imaginary Friends
Keith Ferguson	Gravity Falls
Keith Ferguson	We Bare Bears
Lynn Ferguson	Chicken Run
Matthew Ferguson	Cube 2: Hypercube
Matthew Ferguson	Nikita
Priah Ferguson	The Curse of Bridge Hollow
Rebecca Ferguson	Doctor Sleep
Rebecca Ferguson	Dune: Part One
Rebecca Ferguson	Florence Foster Jenkins
Rebecca Ferguson	Life
Rebecca Ferguson	Men in Black: International
Rebecca Ferguson	Mission: Impossible - Rogue Nation
Rebecca Ferguson	Reminiscence
Rebecca Ferguson	Silo
Rebecca Ferguson	The Girl on the Train
Rebecca Ferguson	The Snowman
Sabrina Ferilli	La grande bellezza
Jodelle Ferland	Case 39
Jodelle Ferland	Dark Matter
Jodelle Ferland	Home Alone: The Holiday Heist
Jodelle Ferland	The Tall Man
Jodelle Ferland	Tideland
Vanessa Ferlito	Death Proof
Vanessa Ferlito	Graceland
Vanessa Ferlito	NCIS: New Orleans
Cory Fernandez	Cop Out
Jacqueline Fernandez	Attack
Jacqueline Fernandez	Bachchhan Paandey
Jacqueline Fernandez	Bhoot Police
Jacqueline Fernandez	Brothers
Jacqueline Fernandez	Cirkus
Jacqueline Fernandez	Housefull 2
Jacqueline Fernandez	Judwaa 2
Jacqueline Fernandez	Kick
Jacqueline Fernandez	Mrs. Serial Killer
Jacqueline Fernandez	Race 3
Jacqueline Fernandez	Ram Setu
Jacqueline Fernandez	VR (Vikrant Rona)
Johnathan Fernandez	Lethal Weapon
Mateo Fernandez	Love, Victor
Peter Fernandez	Courage the Cowardly Dog
Ruth Vega Fernandez	Kyss mig
Shiloh Fernandez	Deadgirl
Shiloh Fernandez	Evil Dead
Shiloh Fernandez	Red
Shiloh Fernandez	Return to Sender
Shiloh Fernandez	Syrup
Wilhelmenia Fernandez	Diva
Alex Ferns	The Devil's Hour
Ana Fernández	Las chicas del cable
Ana Fernández	Voces
Angelines Fernández	El Chavo del Ocho
Candela Fernández	Los cronocrímenes
Eduard Fernández	Alatriste
Eduard Fernández	El método
Eduard Fernández	Los renglones torcidos de Dios
Eduard Fernández	Perfectos desconocidos
Eduard Fernández	Todos lo saben
Juan Fernández	The Collector
Miquel Fernández	All I See Is You
Fabrizio Ferracane	Il traditore
Giacomo Ferrara	Suburra - La serie
Jerry Ferrara	Entourage
Jerry Ferrara	Entourage
Jerry Ferrara	Power
Juan Ferrara	La montaña sagrada
Anthony Ferraris	Chicago Fire
Michelle Ferre	Ngo si seoi
Barbie Ferreira	Euphoria
Emilio Ferreira	Hunger
Isabella Ferreira	Love, Victor
Louis Ferreira	Bad Blood
Louis Ferreira	Saw IV
Louis Ferreira	Stargate Universe
Sky Ferreira	Lords of Chaos
Sky Ferreira	The Trust
Irene Ferreiro	Cerdita
Conchata Ferrell	Two and a Half Men
Tyra Ferrell	White Men Can't Jump
Will Ferrell	A Night at the Roxbury
Will Ferrell	Anchorman 2: The Legend Continues
Will Ferrell	Anchorman: The Legend of Ron Burgundy
Will Ferrell	Bewitched
Will Ferrell	Blades of Glory
Will Ferrell	Casa de mi padre
Will Ferrell	Curious George
Will Ferrell	Daddy's Home
Will Ferrell	Daddy's Home 2
Will Ferrell	Dick
Will Ferrell	Downhill
Will Ferrell	Elf
Will Ferrell	Eurovision Song Contest: The Story of Fire Saga
Will Ferrell	Everything Must Go
Will Ferrell	Get Hard
Will Ferrell	Holmes & Watson
Will Ferrell	Kicking & Screaming
Will Ferrell	Land of the Lost
Will Ferrell	Man vs. Wild
Will Ferrell	Megamind
Will Ferrell	Melinda and Melinda
Will Ferrell	Old School
Will Ferrell	Quiz Lady
Will Ferrell	Semi-Pro
Will Ferrell	Spirited
Will Ferrell	Step Brothers
Will Ferrell	Stranger Than Fiction
Will Ferrell	Strays
Will Ferrell	Superstar
Will Ferrell	Talladega Nights: The Ballad of Ricky Bobby
Will Ferrell	The Campaign
Will Ferrell	The House
Will Ferrell	The Lego Movie
Will Ferrell	The Other Guys
Will Ferrell	The Producers
Will Ferrell	The Shrink Next Door
Will Ferrell	Tim and Eric's Billion Dollar Movie
Will Ferrell	Zoolander
Will Ferrell	Zoolander 2
Ibrahim Ferrer	Buena Vista Social Club
José Ferrer	A Midsummer Night's Sex Comedy
José Ferrer	The Caine Mutiny
José Luis Ferrer	The Man Who Killed Don Quixote
Mel Ferrer	War and Peace
Miguel Ferrer	Crossing Jordan
Miguel Ferrer	DeepStar Six
Miguel Ferrer	Mulan
Miguel Ferrer	NCIS: Los Angeles
Miguel Ferrer	Point of No Return
Miguel Ferrer	Tales from the Crypt
Miguel Ferrer	The Man
Miguel Ferrer	The Night Flier
Miguel Ferrer	Twin Peaks: The Return
America Ferrera	Dragons: Riders of Berk
America Ferrera	Dumb Money
America Ferrera	End of Watch
America Ferrera	How to Train Your Dragon: The Hidden World
America Ferrera	Superstore
America Ferrera	The Sisterhood of the Traveling Pants
America Ferrera	The Sisterhood of the Traveling Pants 2
America Ferrera	Ugly Betty
Martin Ferrero	Miami Vice
Veronica Ferres	Pay the Ghost
Benoît Ferreux	Le souffle au coeur
Julie Ferrier	L'arnacoeur
Lou Ferrigno	Pumping Iron
Lou Ferrigno	The Incredible Hulk
Matty Ferrigno	Pumping Iron
Victoria Ferrigno	Pumping Iron
Jennifer Ferrin	The Equalizer
Lorenzo Ferro	El ángel
Andréa Ferréol	Le dernier métro
Gabriele Ferzetti	Il portiere di notte
Gabriele Ferzetti	L'avventura
Gabriele Ferzetti	On Her Majesty's Secret Service
Hryhoriy Fesenko	Plemya
Larry Fessenden	I Sell the Dead
Larry Fessenden	We Are Still Here
Nur Fettahoglu	Ask-i Memnu
Nur Fettahoglu	Muhtesem Yüzyil
Yvette Feuer	Radioactive
Daniel Feuerriegel	Spartacus: Blood and Sand
Mark Feuerstein	In Your Eyes
Mark Feuerstein	Royal Pains
Mark Feuerstein	Woman on Top
Tina Fey	30 Rock
Tina Fey	A Haunting in Venice
Tina Fey	Admission
Tina Fey	Baby Mama
Tina Fey	Date Night
Tina Fey	Mean Girls
Tina Fey	Megamind
Tina Fey	Modern Love
Tina Fey	Muppets Most Wanted
Tina Fey	Sisters
Tina Fey	Soul
Tina Fey	This Is Where I Leave You
Tina Fey	Whiskey Tango Foxtrot
Saddam Hossein Feysal	Lakposhtha parvaz mikonand
Salameh Feyzi	Rang-e khoda
William Fichtner	Crossing Lines
William Fichtner	Drive Angry
William Fichtner	Invasion
William Fichtner	Mom
William Fichtner	Phantom
William Fichtner	Prison Break
William Fichtner	Teenage Mutant Ninja Turtles
William Fichtner	The Lone Ranger
William Fichtner	Traffik
Irfan Fidan	The Dissident
Beata Fido	Smolensk
John Fiedler	12 Angry Men
John Fiedler	The Odd Couple
John Fiedler	The Tigger Movie
Levi Fiehler	Resident Alien
Betty Field	Bus Stop
Chelsea Field	Harley Davidson and the Marlboro Man
Chelsea Field	The Last Boy Scout
David Field	Shantaram
David Field	The Rover
David Field	These Final Hours
David Field	Two Hands
Kyle Field	Creep 2
Melanie Field	A League of Their Own
Patrick Field	Smilla's Sense of Snow
Rebecca Field	The Client List
Sally Field	80 for Brady
Sally Field	Absence of Malice
Sally Field	Brothers & Sisters
Sally Field	Eye for an Eye
Sally Field	Forrest Gump
Sally Field	Hello, My Name Is Doris
Sally Field	Homeward Bound II: Lost in San Francisco
Sally Field	Homeward Bound: The Incredible Journey
Sally Field	Legally Blonde 2: Red, White & Blonde
Sally Field	Lincoln
Sally Field	Mrs. Doubtfire
Sally Field	Norma Rae
Sally Field	Not Without My Daughter
Sally Field	Places in the Heart
Sally Field	Say It Isn't So
Sally Field	Smokey and the Bandit
Sally Field	Soapdish
Sally Field	Steel Magnolias
Todd Field	Eyes Wide Shut
Virginia Field	Waterloo Bridge
Nathan Fielder	Nathan for You
Nathan Fielder	The Rehearsal
David J. Fielding	Mighty Morphin Power Rangers
Michael Fielding	The Mighty Boosh
Noel Fielding	The Great British Bake Off
Noel Fielding	The IT Crowd
Noel Fielding	The Mighty Boosh
Alexis Fields	Kenan & Kel
Karen Fields	Sleepaway Camp
Kathy Fields	Johnny Got His Gun
Shannen Fields	Facing the Giants
Joseph Fiennes	Camelot
Joseph Fiennes	Der Rote Baron
Joseph Fiennes	Enemy at the Gates
Joseph Fiennes	Flashforward
Joseph Fiennes	Goodbye Bafana
Joseph Fiennes	Hercules
Joseph Fiennes	Killing Me Softly
Joseph Fiennes	Luther
Joseph Fiennes	Risen
Joseph Fiennes	Shakespeare in Love
Joseph Fiennes	Sinbad: Legend of the Seven Seas
Joseph Fiennes	The Darwin Awards
Joseph Fiennes	The Escapist
Joseph Fiennes	The Great Raid
Joseph Fiennes	The Handmaid's Tale
Joseph Fiennes	The Merchant of Venice
Joseph Fiennes	The Mother
Ralph Fiennes	A Bigger Splash
Ralph Fiennes	Clash of the Titans
Ralph Fiennes	Coriolanus
Ralph Fiennes	Great Expectations
Ralph Fiennes	Hail, Caesar!
Ralph Fiennes	Holmes & Watson
Ralph Fiennes	Kubo and the Two Strings
Ralph Fiennes	Maid in Manhattan
Ralph Fiennes	Nanny McPhee and the Big Bang
Ralph Fiennes	Quiz Show
Ralph Fiennes	Red Dragon
Ralph Fiennes	Schindler's List
Ralph Fiennes	Spectre
Ralph Fiennes	Spider
Ralph Fiennes	Strange Days
Ralph Fiennes	Sunshine
Ralph Fiennes	The Avengers
Ralph Fiennes	The Constant Gardener
Ralph Fiennes	The Curse of the Were-Rabbit
Ralph Fiennes	The Dig
Ralph Fiennes	The Duchess
Ralph Fiennes	The End of the Affair
Ralph Fiennes	The English Patient
Ralph Fiennes	The Good Thief
Ralph Fiennes	The Grand Budapest Hotel
Ralph Fiennes	The Invisible Woman
Ralph Fiennes	The King's Man
Ralph Fiennes	The Lego Batman Movie
Ralph Fiennes	The Menu
Ralph Fiennes	The Prince of Egypt
Ralph Fiennes	The Reader
Ralph Fiennes	Wrath of the Titans
Ralph Fiennes	Wuthering Heights
Hannah Fierman	V/H/S
Harvey Fierstein	Duplex
Harvey Fierstein	Mrs. Doubtfire
Maia Filar	The Magic School Bus
Nína Dögg Filippusdóttir	The Valhalla Murders
John Lloyd Fillingham	Exam
Nathan Fillion	Cars 3
Nathan Fillion	Castle
Nathan Fillion	Firefly
Nathan Fillion	Percy Jackson: Sea of Monsters
Nathan Fillion	Serenity
Nathan Fillion	Slither
Nathan Fillion	The Rookie
Nathan Fillion	Two Guys, a Girl and a Pizza Place
Nathan Fillion	Waitress
Nathan Fillion	White Noise 2: The Light
Dave Filoni	Star Wars Rebels
Anthony Filosa	Nathan for You
Travis Fimmel	Danger Close: The Battle of Long Tan
Travis Fimmel	Lean on Pete
Travis Fimmel	Raised by Wolves
Travis Fimmel	Vikings
Travis Fimmel	Warcraft
Josh Finan	The Responder
Jon Finch	Frenzy
Jon Finch	The Tragedy of Macbeth
Ninette Finch	Derek
Peter Finch	Network
Peter Finch	The Flight of the Phoenix
Peter Finch	The Nun's Story
Deborah Findlay	Cranford
Jessica Brown Findlay	Brave New World
Jessica Brown Findlay	Castlevania
Jessica Brown Findlay	The Guernsey Literary and Potato Peel Pie Society
Jessica Brown Findlay	The Riot Club
Jessica Brown Findlay	This Beautiful Fantastic
Jessica Brown Findlay	Victor Frankenstein
Jessica Brown Findlay	Winter's Tale
Katie Findlay	Man Seeking Woman
Katie Findlay	The Carrie Diaries
Ryan Findley	First Cow
Benny Fine	Content Cop
Rafi Fine	Content Cop
Travis Fine	Child's Play 3
Jayda Fink	The Bad Batch
Alexander Finkenwirth	The Empress
Frank Finlay	A Christmas Carol
Frank Finlay	Lifeforce
Frank Finlay	The Pianist
John Finlay	Tiger King
Greg Finley	Star-Crossed
Greg Finley	The Secret Life of the American Teenager
Hala Finley	Man with a Plan
J. Michael Finley	I Can Only Imagine
William Finley	Phantom of the Paradise
William Finley	Sisters
Carole Finn	Die unendliche Geschichte III: Rettung aus Phantasien
Carrie Finn	Elephant
Charlie Finn	American Dragon: Jake Long
George Finn	Time Lapse
John Finn	Cold Case
Kevin Finn	The Angry Video Game Nerd
John Finnegan	Columbo
Katie Finneran	Wonderfalls
Siobhan Finneran	Boy A
Siobhan Finneran	Happy Valley
Siobhan Finneran	Time
Albert Finney	A Good Year
Albert Finney	Amazing Grace
Albert Finney	Annie
Albert Finney	Before the Devil Knows You're Dead
Albert Finney	Big Fish
Albert Finney	Erin Brockovich
Albert Finney	Miller's Crossing
Albert Finney	Murder on the Orient Express
Albert Finney	Scrooge
Albert Finney	The Duellists
Albert Finney	Tom Jones
Albert Finney	Two for the Road
Albert Finney	Wolfen
Yasmin Finney	Heartstopper
Jennifer Finnigan	Salvation
Jennifer Finnigan	Tyrant
Angela Finocchiaro	Benvenuti al sud
Robert Finster	Freud
Robert Finster	Tribes of Europa
Chris Fiore	Baywatch
Linda Fiorentino	Dogma
Linda Fiorentino	Jade
Linda Fiorentino	Men in Black
Linda Fiorentino	Ordinary Decent Criminal
Linda Fiorentino	The Last Seduction
Idil Firat	Kaybedenler Kulübü
Mert Firat	Kelebegin Rüyasi
Brian Firenzi	Video Game High School
Eddie Firestone	Duel
Leandro Firmino	Cidade de Deus
Colin Firth	1917
Colin Firth	A Christmas Carol
Colin Firth	A Single Man
Colin Firth	Before I Go to Sleep
Colin Firth	Bridget Jones's Diary
Colin Firth	Bridget Jones: The Edge of Reason
Colin Firth	Devil's Knot
Colin Firth	Dorian Gray
Colin Firth	Easy Virtue
Colin Firth	Empire of Light
Colin Firth	Fever Pitch
Colin Firth	Gambit
Colin Firth	Genius
Colin Firth	Girl with a Pearl Earring
Colin Firth	Kingsman: The Golden Circle
Colin Firth	Kingsman: The Secret Service
Colin Firth	Magic in the Moonlight
Colin Firth	Nanny McPhee
Colin Firth	Operation Mincemeat
Colin Firth	Supernova
Colin Firth	The Accidental Husband
Colin Firth	The Importance of Being Earnest
Colin Firth	The King's Speech
Colin Firth	The Last Legion
Colin Firth	The Railway Man
Colin Firth	Then She Found Me
Colin Firth	Tinker Tailor Soldier Spy
Colin Firth	Valmont
Colin Firth	What a Girl Wants
Colin Firth	Where the Truth Lies
Julian Firth	Scum
Peter Firth	Chill Factor
Peter Firth	Lifeforce
Peter Firth	Mighty Joe Young
Peter Firth	Risen
Peter Firth	Spooks
Peter Firth	Spooks: The Greater Good
Peter Firth	Tess
Andrew Fiscella	The Final Destination
Becky Fischer	Jesus Camp
Jeff Fischer	American Dad!
Jenna Fischer	Brad's Status
Jenna Fischer	Hall Pass
Jenna Fischer	The Brothers Solomon
Jenna Fischer	The Giant Mechanical Man
Jenna Fischer	The Office
Jenna Fischer	Walk Hard: The Dewey Cox Story
Lisa Fischer	Twenty Feet from Stardom
Patrick Fischler	Happy!
Rhiannon Fish	Occupation
Zoe Fish	The Grudge
Dominique Fishback	Judas and the Black Messiah
Dominique Fishback	Project Power
Dominique Fishback	Swarm
Dominique Fishback	Transformers: Rise of the Beasts
Laurence Fishburne	Akeelah and the Bee
Laurence Fishburne	Armored
Laurence Fishburne	Assault on Precinct 13
Laurence Fishburne	Biker Boyz
Laurence Fishburne	Boyz n the Hood
Laurence Fishburne	CSI: Crime Scene Investigation
Laurence Fishburne	Deep Cover
Laurence Fishburne	Event Horizon
Laurence Fishburne	Hannibal
Laurence Fishburne	Hoodlum
Laurence Fishburne	John Wick: Chapter 3 - Parabellum
Laurence Fishburne	John Wick: Chapter 4
Laurence Fishburne	Just Cause
Laurence Fishburne	King of New York
Laurence Fishburne	Last Flag Flying
Laurence Fishburne	Osmosis Jones
Laurence Fishburne	Othello
Laurence Fishburne	Passengers
Laurence Fishburne	Predators
Laurence Fishburne	The Colony
Laurence Fishburne	The Death and Life of Bobby Z
Laurence Fishburne	The Ice Road
Laurence Fishburne	The Matrix
Laurence Fishburne	The Matrix Reloaded
Laurence Fishburne	The Matrix Revolutions
Laurence Fishburne	The Signal
Laurence Fishburne	What's Love Got to Do with It
Danielle Fishel	Boy Meets World
Danielle Fishel	Girl Meets World
Alex Fisher	The Strangers
Brian Fisher	His Dark Materials
Carrie Fisher	Sorority Row
Carrie Fisher	Star Wars
Carrie Fisher	Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher	Star Wars: Episode VI - Return of the Jedi
Carrie Fisher	Star Wars: Episode VIII - The Last Jedi
Carrie Fisher	The 'Burbs
Carrie Fisher	When Harry Met Sally...
Elsie Fisher	Eighth Grade
Elsie Fisher	Texas Chainsaw Massacre
Frances Fisher	Becker
Frances Fisher	Holidate
Frances Fisher	House of Sand and Fog
Frances Fisher	Resurrection
Frances Fisher	The Sinner
George Fisher	Metalocalypse
Isla Fisher	Bachelorette
Isla Fisher	Confessions of a Shopaholic
Isla Fisher	Hot Rod
Isla Fisher	Keeping Up with the Joneses
Isla Fisher	Life of Crime
Isla Fisher	Rango
Isla Fisher	Rise of the Guardians
Isla Fisher	Strays
Isla Fisher	The Beach Bum
Isla Fisher	The Lookout
Isla Fisher	The Pleasure of Your Company
Isla Fisher	Visions
Jasen Fisher	The Witches
Joely Fisher	Girl in the Basement
Joely Fisher	Inspector Gadget
Jordan Fisher	To All the Boys: P.S. I Still Love You
Lily Fisher	Blonde
Miles Fisher	Final Destination 5
Noel Fisher	Red
Noel Fisher	Teenage Mutant Ninja Turtles
Tom Fisher	The King
Michael Fishman	Roseanne
Schuyler Fisk	Orange County
Schuyler Fisk	Restless
Schuyler Fisk	Snow Day
Niles Fitch	The Fallout
Bobby Fite	Explorers
Peter Fitz	Werckmeister harmóniák
Parisa Fitz-Henley	Midnight, Texas
Parisa Fitz-Henley	My Spy
Caitlin FitzGerald	Masters of Sex
Alex Fitzalan	The Society
Barry Fitzgerald	And Then There Were None
Barry Fitzgerald	Going My Way
Barry Fitzgerald	The Naked City
Barry Fitzgerald	The Quiet Man
Christopher Fitzgerald	Happy!
Christopher Fitzgerald	Let Them All Talk
Christopher Fitzgerald	Revolutionary Road
Erin Fitzgerald	Ed, Edd n Eddy
Geraldine Fitzgerald	Arthur
Geraldine Fitzgerald	Dark Victory
Geraldine Fitzgerald	The Pawnbroker
Glenn Fitzgerald	Dirty Sexy Money
Orla Fitzgerald	The Wind That Shakes the Barley
Tara Fitzgerald	Brassed Off
Tara Fitzgerald	Sirens
Tara Fitzgerald	The Englishman Who Went Up a Hill But Came Down a Mountain
Willa Fitzgerald	Reacher
Willa Fitzgerald	Scream
Neil Fitzmaurice	Peep Show
Daniel Fitzpatrick	Moonlighting
Emma Fitzpatrick	Before We Go
Emma Fitzpatrick	The Collection
Gabrielle Fitzpatrick	Desert Heat
Leo Fitzpatrick	Kids
Leo Fitzpatrick	Storytelling
Marlin Fitzwater	Da Ali G Show
Neil Fitzwiliam	Yes Minister
Paul Fix	Zabriskie Point
Lil' Fizz	You Got Served
Cecilie Fjellhøy	The Tinder Swindler
Fannie Flagg	Five Easy Pieces
Randy Flagler	Chicago Fire
Joe Flaherty	Freaks and Geeks
Joe Flaherty	Heavy Metal
Lanny Flaherty	Sommersby
Didier Flamand	Factotum
Dax Flame	Project X
Anthony Flanagan	Around the World in 80 Days
Anthony Flanagan	Red Riding: The Year of Our Lord 1974
Fionnula Flanagan	Divine Secrets of the Ya-Ya Sisterhood
Fionnula Flanagan	Song of the Sea
Fionnula Flanagan	The Ewok Adventure
Fionnula Flanagan	The Others
Fionnula Flanagan	Transamerica
Fionnula Flanagan	Waking Ned
Maile Flanagan	Naruto
Maile Flanagan	Naruto: Shippûden
Tommy Flanagan	All About the Benjamins
Tommy Flanagan	Killers Anonymous
Tommy Flanagan	Ratcatcher
Tommy Flanagan	Sons of Anarchy
Tommy Flanagan	When a Stranger Calls
Ed Flanders	The Exorcist III
John Flanders	The Room
Sean Patrick Flanery	Nefarious
Sean Patrick Flanery	Powder
Sean Patrick Flanery	Simply Irresistible
Sean Patrick Flanery	Suicide Kings
Sean Patrick Flanery	Ten Inch Hero
Sean Patrick Flanery	The Boondock Saints
Sean Patrick Flanery	The Boondock Saints II: All Saints Day
Joe Flanigan	6 Bullets
Joe Flanigan	Stargate: Atlantis
Sidney Flanigan	Never Rarely Sometimes Always
Jamie Flatters	De slag om de Schelde
Jamie Flatters	Liar
DJ Flava	Another Earth
Flea	The Wild Thornberrys Movie
James Fleet	Charlotte Gray
James Fleet	Four Weddings and a Funeral
James Fleet	Sense and Sensibility
James Fleet	The Vicar of Dibley
Jo Van Fleet	Gunfight at the O.K. Corral
Jo Van Fleet	Le locataire
Kate Fleetwood	Harlots
Kate Fleetwood	The Wheel of Time
Mick Fleetwood	Sound City
Susan Fleetwood	Offret
Charles Fleischer	Gridlock'd
Charles Fleischer	We're Back! A Dinosaur's Story
Charles Fleischer	Who Framed Roger Rabbit
Jens Jørgen Fleischer	Smilla's Sense of Snow
